,seed,actions
0,0,[]
1,1,"[3, 3, 0, 0, 2, 2, 0, 3, 0, 3, 0, 2, 2, 2, 1, 3, 2, 3, 1, 3, 1, 3, 1, 1, 2, 2, 0, 3, 2, 3, 0, 2, 0, 0, 2, 2, 2, 0, 3, 3, 3, 3, 3, 1, 2, 3, 2, 1, 2, 1, 3, 1, 2, 1, 3, 3, 0, 2, 3, 1, 2, 2, 0, 0, 3, 0, 0, 3, 0, 2, 2, 2, 1, 3, 2, 3, 0, 3, 3, 1, 2, 2, 2]"
2,2,"[3, 2, 1, 3, 0, 3, 2, 3, 0, 2, 2, 1, 1, 3, 1, 3, 0, 0, 2, 0, 3]"
3,3,[]
4,4,"[0, 0, 3, 0, 1, 2, 0, 3, 0, 1, 2, 0]"
5,5,[]
6,6,"[0, 3, 3, 2, 3, 0, 3, 3, 1, 1, 2, 3, 0, 2, 1, 2, 2, 0, 3]"
7,7,"[3, 0, 1, 3, 0, 0]"
8,8,"[1, 3, 3, 3, 3, 2, 3, 0, 0, 0, 3, 1]"
9,9,"[2, 3, 0, 0, 2, 0, 2, 2, 1, 3, 1, 3, 2, 2, 0, 3, 0, 3, 3, 1, 2, 3, 2, 1, 1, 3, 0, 2, 2, 2, 0, 3, 2, 3, 0, 3, 3, 1, 0, 2, 2, 2, 1, 3, 1, 3, 1, 3, 0, 0, 2, 3, 2, 1, 2, 2, 0, 3, 2, 3, 0, 3, 1, 3, 1, 2]"
10,10,"[2, 3, 2, 1, 2, 2, 2, 2, 1, 1, 3, 2, 3, 1, 3, 3, 0, 0, 2, 2, 2, 0, 3, 3, 0, 3, 2, 3, 1, 2, 2, 2, 1, 3, 1, 3, 2, 3, 0, 3, 0, 3, 0, 3, 2, 2, 2, 2, 2, 1, 3, 3, 3, 1, 2, 2, 2, 1, 3, 3, 1, 3, 0, 0, 2, 3, 1, 2, 2, 2, 0, 3, 0, 3, 0, 3, 3, 1, 2, 2, 3, 3, 0, 2, 2, 2, 2, 1, 3, 2, 3, 1, 3, 3, 0, 3, 0, 2, 2, 1, 3, 1, 2, 3, 2, 1, 3, 1, 2, 2, 0, 2, 0, 3, 2, 3, 1, 3, 3, 0, 0, 2, 1, 3, 1, 2, 3, 2, 1, 2, 0, 3, 0, 2]"
11,11,"[0, 0, 2, 0, 3, 0, 2]"
12,12,[]
13,13,"[2, 3, 1, 1, 2, 2, 2, 2, 2, 0, 3, 2, 3, 1, 3, 3, 3, 3, 0, 2]"
14,14,"[3, 2, 1, 3, 3]"
15,15,"[3, 3, 3, 1, 2, 2, 2, 0, 0, 0, 3, 0, 0, 2, 1, 3, 1, 1, 3, 3, 1, 2, 1, 2, 2, 0, 0, 3, 0, 0, 2, 1, 3, 1, 3, 3, 1, 2, 1, 2, 2, 0, 3, 2, 3, 1, 3, 3, 0, 0, 2, 2, 0, 2, 1, 3, 3, 3, 1, 2, 3, 2, 1, 2, 2, 0, 1, 3, 3, 3, 0, 2, 0, 2, 1, 2, 0, 3, 3, 3, 1, 2, 2, 2, 1, 3, 2, 3, 0, 3, 3, 0, 2, 2, 0, 0, 2, 1]"
16,16,[]
17,17,"[2, 3, 0, 0, 3, 0, 2, 2, 1, 2, 2, 0, 3, 2, 3, 1, 1, 3, 2, 3, 1, 2, 2, 0, 0, 3, 0, 3, 2, 3, 1, 3, 3, 0, 2, 3, 2, 1, 2, 2, 2, 1, 3, 3, 1, 3, 0, 2, 3, 1, 2, 2, 2, 0, 3, 0, 2, 0, 3, 0, 3, 1, 3, 1, 3, 2, 0, 2, 2, 1, 3, 2, 3, 1, 2, 2, 0, 0, 3, 3, 3, 3, 1, 2, 3, 2, 0, 2, 2, 2, 1, 3, 1, 3, 1, 3, 0, 2, 3, 1, 2, 2, 2, 0, 3, 0, 2, 0, 3, 3, 1, 3, 1, 2, 3, 2, 1, 2, 2, 0, 3, 2, 3, 1, 3, 0, 3, 0, 2, 3, 2, 1, 3, 1, 2, 2, 2, 0, 0, 3, 2, 3, 1, 3, 0, 3, 0, 2, 2]"
18,18,[]
19,19,[]
20,20,"[3, 0, 0, 2, 3, 1, 1, 2, 1, 1, 3, 0, 0, 0]"
21,21,"[3, 2, 0, 0, 0, 3, 2, 3, 1, 2, 1, 1, 3, 0, 2, 0, 0, 3, 3, 2, 1, 2, 3, 0, 3, 3, 2, 2, 2, 1, 1, 1, 3, 0, 2, 0, 0, 3, 3, 3, 3, 2, 2, 2, 1, 2, 3, 0, 3, 3, 3, 0, 3, 1, 2, 2, 2, 2, 2, 1, 1, 1, 3, 0, 0, 2, 0, 3, 3, 3, 2, 3, 1, 3, 0, 3, 0, 0, 2, 1, 1]"
22,22,[]
23,23,[]
24,24,"[1, 3, 2, 3, 0, 2, 2, 2, 1, 3, 2, 3, 0, 3, 3, 1, 3, 2, 3, 0, 2, 2, 2, 1, 3, 2, 3, 0, 3, 3, 3, 1, 2, 3, 0, 2, 2, 2, 1, 3, 2, 3, 0, 3, 3, 1, 1, 0, 2, 2]"
25,25,"[3, 1, 3, 2, 2, 1, 1, 1, 3, 2, 3, 0, 2, 0, 0, 3, 1, 2, 1, 1, 3, 3, 2, 3, 1, 2, 2, 0, 0, 0, 3, 1, 2, 1, 1, 3, 3, 0, 3, 2, 3, 1, 2, 2, 2, 0, 3, 2, 3, 1, 3, 3, 3, 0, 2, 3, 1, 2, 2, 2, 0, 3, 2, 3, 1, 3, 3, 0, 2, 0, 3, 2, 3, 1, 2, 1, 2, 2, 0, 3, 2, 3, 1, 3, 3, 0, 2, 2, 2, 3, 3, 3, 1, 2, 2, 2, 2, 0]"
26,26,[]
27,27,[]
28,28,"[3, 1, 3, 1, 1, 1, 1, 2, 2, 0, 3, 0, 0, 3, 2, 1, 1, 2, 1, 3, 3, 0, 2, 0, 0, 3, 0, 0, 2, 1, 1, 1, 1, 3, 0, 2, 3, 1, 1, 2, 3, 2, 0, 3, 0, 2, 0, 0, 3, 1]"
29,29,"[3, 1, 2, 3, 0, 2, 0, 0, 3, 1, 2, 1, 1, 1, 3, 2, 3, 0, 2, 0, 0, 3, 1, 2, 1, 1, 3, 3, 2, 3, 1, 2, 2, 0, 0, 0, 3, 1, 2, 1, 1, 3, 3, 3, 3, 0, 2, 3, 2, 1, 2, 2, 2, 0, 0, 3, 1, 3]"
30,30,"[2, 1, 3, 1, 0, 2, 1, 3, 1, 0, 2, 1, 3, 1]"
31,31,"[0, 2, 3, 2, 1, 2, 2, 0, 2, 2, 1, 3, 2, 3, 0, 3, 3, 1, 2, 3, 2, 0, 2, 2, 1, 3, 2, 3, 0, 3, 3, 1, 3, 3, 0, 2, 2, 2, 2, 1, 3, 3]"
32,32,"[3, 2, 1, 3, 0, 3, 2, 1, 3, 0, 3, 2, 1, 3]"
33,33,[]
34,34,"[3, 1, 3, 2, 0, 2, 2, 1, 3, 3, 2, 3, 0, 3, 1, 1, 1, 2, 0, 3, 1, 1, 0, 2, 0, 3, 0, 0, 2, 2, 1, 3, 2, 3, 0, 3, 1, 1, 1]"
35,35,"[2, 3, 2, 1, 2, 2, 1, 1, 1, 3, 0, 3, 2, 2, 0, 0, 3, 3, 0, 2, 1, 1, 2, 3, 0, 3, 0, 2, 0, 2, 1, 3, 3, 1, 2, 1, 2, 1, 1, 3, 0, 3, 2, 2, 0, 0, 3, 2, 1, 1, 3, 0, 0, 3, 0, 0, 2, 2, 1, 0, 3, 1, 2, 1, 0, 3, 1, 2, 1, 1, 3, 0, 2, 0, 0, 3, 3, 1, 2]"
36,36,[]
37,37,[]
38,38,"[1, 3, 2, 3, 0, 2, 2, 1, 1, 3, 2, 3, 0, 3, 3, 2, 3, 0, 2, 2, 2, 1, 3, 1, 3, 3, 3]"
39,39,"[2, 2, 2, 0, 3, 0, 3, 0, 2, 2, 0, 3, 2, 3, 1, 3, 1, 1, 2, 3, 0, 2, 2, 0, 3, 0, 2, 0, 3, 3, 3, 1, 2, 3, 2, 1, 2, 2, 0, 0, 3, 1]"
40,40,"[3, 0, 0, 0, 2, 1, 3, 2, 0, 3, 3, 0, 2]"
41,41,"[1, 1, 3, 3, 3, 1, 2, 3, 2, 0, 2, 2, 1, 3, 2, 3, 1, 1, 2, 0, 3, 0, 0, 2, 1, 3, 2, 0, 3, 3, 3, 1, 2, 3, 2, 0, 2, 1, 1]"
42,42,"[1, 3, 2, 3, 1, 3, 1, 1, 3, 1, 2, 2, 2, 2, 0, 0, 0, 3, 2, 3, 0, 3, 0, 3, 1, 1, 2, 3, 1, 0, 2, 0, 3, 0, 2, 2, 2, 1, 1, 3, 2, 1, 1, 3, 3, 3, 2, 3, 1, 2, 2, 2, 0, 0, 0, 3, 0, 3, 3, 1, 2, 2, 3, 3, 0, 2, 2, 2, 1]"
43,43,"[1, 2, 3, 2, 0, 2, 2, 1, 1, 0, 3, 2, 3, 0, 2, 2, 1, 1, 1, 1, 3, 0, 2, 0, 0, 3, 1, 2, 3, 0, 3, 0, 3, 3, 1, 2, 3, 2, 0, 2, 2, 2, 1, 3, 1, 2, 1, 1, 3, 0, 2, 0, 0, 3, 3, 2, 3, 0, 2, 2, 1, 1, 1, 3, 0, 2, 0, 0, 3, 3, 3, 3, 1, 2, 3, 2, 0, 2, 2, 1, 2, 3, 0, 3, 3, 1, 2, 2, 1, 2, 3, 0, 3, 3, 3, 0, 2, 2, 2, 2, 1, 1, 1, 1, 3, 0, 0]"
44,44,[]
45,45,"[1, 3, 2, 3, 1, 2, 1, 3, 2, 3, 1, 3, 3, 3, 0, 0, 3, 0, 2, 2, 1, 2, 2, 0, 3, 1, 1, 2, 3, 0, 0, 3, 2, 3, 1, 3, 1, 1, 2, 1, 2, 2, 0, 3, 2, 3, 1, 3, 3, 0, 0, 0, 3, 0, 2, 3, 2, 1, 2, 2, 2, 2, 1, 3, 3, 1, 3, 2, 3, 1, 2, 2, 0, 0, 3, 0, 0, 3, 2, 3, 1, 2, 2, 2, 1, 3, 3, 1, 3, 1, 3, 0, 2, 3, 1, 2, 2, 2, 0, 3, 0, 2, 2, 0, 3, 3, 3, 3, 3, 0, 2, 1, 1, 0, 0, 2, 3, 3, 1, 2, 2, 2, 2, 2, 1, 3, 3, 1, 3, 1, 3, 0, 2, 3, 1, 2, 2, 2, 0, 3, 0, 2, 2, 0, 3, 0, 3, 2, 3, 1, 2, 2, 1, 3, 3, 1, 3, 3, 0, 1, 2, 2, 2, 0, 3, 0, 0, 3, 1, 3, 2, 3, 1, 1, 2, 2, 2, 0, 3, 0, 2, 2, 0, 3, 3, 3, 0, 3, 1, 1, 1]"
46,46,"[0, 3, 2, 2, 0, 0, 3, 2, 1, 1, 3, 0, 3, 2, 2, 0, 0, 3, 3, 1, 0, 2, 1, 3, 2, 2, 1, 1, 3, 3, 0, 1, 2, 2, 0, 0, 3, 0, 3, 1, 2, 3, 0, 2, 2, 1, 1, 1, 3, 0, 2, 3, 1, 3, 0, 2, 0, 0]"
47,47,[]
48,48,"[2, 3, 1, 1, 2, 2, 0, 0, 2, 2, 1, 3, 2, 3, 1, 3, 3, 3, 0, 0, 2, 1, 3, 2, 0, 3, 0, 2, 2, 2, 1, 1, 3, 1, 3, 2, 2, 0, 3, 0, 3, 3, 1, 2, 3, 2, 1, 2, 1, 3, 3, 0, 2, 3, 1, 2, 2, 0, 2, 0, 3, 2, 3, 0, 3, 3, 1, 0, 2, 1, 3, 2, 2, 2, 1, 3, 1, 3, 3, 0, 2, 3, 2, 0, 2, 2, 2, 0, 3, 3, 3, 3, 1, 2, 3, 0, 2, 2, 2, 2, 1, 3, 1, 3, 2, 3, 1, 3, 0, 2, 3, 1, 3, 0, 2, 3, 1, 2, 2, 0, 2, 0, 3, 0, 3, 1, 2, 3, 0, 3, 0, 2, 2, 2, 1, 2, 1, 3, 1, 3, 1, 3, 3, 0, 0, 1, 2, 3, 2, 0, 2, 2, 2, 0, 3, 3, 3, 0, 3, 1, 2, 3, 0, 2, 2, 2, 1, 3, 1, 2, 1, 3, 2, 3, 1, 3, 0, 3, 0, 2, 3, 2, 1, 3, 1, 2, 2, 0, 2, 0, 2, 0, 3, 3, 3, 0, 3, 1, 2, 1, 2, 3, 2, 0, 3, 3, 1, 2, 3, 0, 2, 2, 2, 2, 1, 3, 3, 2, 3, 1, 3, 0, 3, 2, 2, 2, 1, 3, 3, 1, 3, 0, 2, 3, 1, 2, 2, 0, 2, 0, 3, 0, 2, 0, 3, 3, 3, 1, 2, 3, 1, 2, 3, 0, 2, 0, 2, 2, 1, 3, 2, 3, 1, 3, 3, 0, 2, 3, 2, 1, 2, 2, 1, 3, 3, 1, 3, 0, 2, 3, 1, 2, 2, 0, 2, 0, 0, 3, 2, 3, 0, 3, 3, 1, 1, 2, 0, 3, 2, 2, 2, 2, 1, 3, 3, 3, 1, 2, 1, 3, 3, 0, 2, 3, 1, 2, 2, 0, 2, 0, 3, 3, 0, 3, 0, 2, 3, 1, 1, 2, 3, 0, 2, 2, 2, 0, 3, 2, 3, 1, 3, 3, 0, 2, 3, 2, 1, 3, 1, 2, 2, 2, 1, 3, 3, 1, 3, 0, 2, 3, 1, 2, 2, 0, 2, 0, 3, 3, 0, 0, 2, 3, 3, 1, 1, 2, 3, 0, 2, 2, 2, 2, 1, 3, 3, 1, 3, 1, 3, 0, 0]"
49,49,[]
50,50,[]
51,51,"[3, 1, 2, 3, 0, 2, 0, 2, 0, 3, 3, 1, 2, 1, 1, 2, 1, 3, 1, 3, 3, 0, 2, 3, 2, 1, 2, 2, 0, 0, 3, 0, 0, 3, 1, 3, 2, 2, 1, 2, 1, 3, 2, 3, 1, 3, 3, 0, 2, 3, 2, 1, 2, 2, 0, 0, 3, 0, 3, 1, 2, 2, 1, 1, 3, 0, 2, 3, 1, 3, 3, 0, 2, 3, 2, 1, 2, 2, 0, 0, 3, 2, 1, 1, 3, 3, 0, 2, 3, 3, 1, 2, 2, 0, 0, 0, 3, 1, 2, 2, 1, 3, 1, 3, 3, 0, 2, 2]"
52,52,"[2, 3, 1, 2, 2, 2, 0, 3, 2, 2, 2, 1, 3, 2, 3, 0, 3, 3, 1, 3, 3, 0, 0, 2, 1, 3, 2, 2, 1, 2, 3, 2, 0, 3, 3, 3, 1, 2, 2]"
53,53,"[1, 3, 2, 3, 0, 3, 3, 3, 3, 1, 2, 1, 3, 1, 1, 1, 2, 2, 0, 3, 2, 3, 0, 3, 0, 2, 0, 3, 0, 2, 2, 2, 2, 1, 3, 2, 3, 0, 3, 3, 3, 1, 2, 1, 3, 1, 1, 2, 3, 0, 2, 0, 3, 0, 2, 0, 2, 2, 1, 3, 3, 2, 3, 0, 3, 1, 1]"
54,54,"[3, 2, 1, 2, 2, 2, 2, 0, 0, 0, 0, 3, 2, 3, 0, 3, 3, 3, 3, 1, 1, 1, 2, 3, 0, 2, 0, 3, 0, 2, 2, 2, 2, 1, 3, 2, 3, 0, 3, 3, 3, 1, 2, 1, 3, 1, 1, 2, 3, 0, 2, 0, 3, 0, 2, 0, 2, 2, 1, 3, 3]"
55,55,"[3, 1, 3, 2, 0, 2, 2, 1, 3, 2, 3, 0, 3, 3, 1, 2, 1, 3, 2, 0, 3, 0, 2, 2, 2, 1, 3, 2, 3, 0, 3, 3, 1, 2, 2, 2, 2]"
56,56,"[1, 3, 2, 3, 0, 2, 2, 2, 1, 3, 2, 3, 0, 3, 3, 1, 3, 2, 3, 0, 2, 2, 2, 1, 3, 3]"
57,57,"[0, 3, 2, 2, 0, 0, 3, 3, 3, 3, 1, 2, 3, 2, 0, 2, 2, 1, 3, 2, 3, 0, 2, 2, 1, 1, 3, 2, 3, 0, 3, 0, 3, 3, 1, 2, 2]"
58,58,"[3, 0, 2, 3, 1, 3, 0]"
59,59,[]
60,60,"[3, 1, 1, 2, 0, 3, 1, 1]"
61,61,[]
62,62,"[2, 1, 3, 2, 3, 1, 2, 2, 1, 1, 3, 1, 3, 0, 3, 2, 2, 2, 0, 0, 3, 3, 0, 3, 2, 1, 1, 0, 3, 0, 2, 2, 2, 1, 1, 1, 3, 1, 3, 0, 0]"
63,63,"[0, 2, 3, 1, 2, 0, 2]"
64,64,"[3, 0, 0, 2, 1]"
65,65,[]
66,66,"[3, 1, 2, 3, 0, 2, 2, 1, 1, 3, 1, 2, 1, 3, 3, 3, 0, 2, 3, 2, 1, 2, 2, 0, 0, 3, 0, 3, 1, 2, 3, 0, 2, 2, 1, 1, 1, 3, 0, 2, 3, 1, 3, 3, 0, 2, 3, 2, 1, 2, 2, 0, 0, 3, 2, 1, 1, 3, 3, 0, 2, 3, 3, 1, 2, 2, 0, 0, 2, 0, 3, 3, 1, 2, 1, 1, 2, 0, 3, 2, 1, 3, 3, 3, 0, 2, 3, 2, 0, 2, 0, 2, 1, 3, 3, 1, 3, 1, 2, 2, 0, 3, 3, 1, 2, 2, 2, 0]"
67,67,"[0, 2, 2, 2, 3, 2, 0, 2, 0, 0, 0, 3, 1, 3, 2, 2, 1, 1, 3, 1, 1, 2, 0, 3, 0, 0, 2, 1, 3, 1, 1, 2, 0, 3, 0, 0, 2, 0, 0, 3, 1, 1, 1, 1, 2, 0]"
68,68,"[2, 3, 2, 0, 2, 1, 1, 0, 3, 3, 1, 2]"
69,69,"[1, 3, 1, 1, 2, 2, 2, 2, 2, 0, 0, 0, 3, 1, 3, 2, 2, 1, 1, 3, 3, 3, 3, 3, 0, 0, 2, 1, 3, 1, 2, 2, 2, 2, 0, 2, 0, 0, 3, 1, 1]"
70,70,"[3, 1, 3, 2, 0, 2, 2, 1, 3, 3, 1, 3, 1, 2, 3, 2, 0, 0, 2, 2, 2, 0, 3, 3, 3, 3, 1]"
71,71,[]
72,72,"[1, 3, 2, 3, 0, 3, 3, 3, 3, 1, 2, 1, 3, 1, 1, 1, 2, 2, 0, 3, 2, 3, 0, 3, 0, 2, 0, 3, 0, 2, 2, 2, 2, 1, 3, 2, 3, 0, 3, 3, 3, 1, 2, 1, 3, 1, 2, 1, 2, 1, 3, 3, 0, 2, 0, 0, 3, 0, 2, 0, 2, 2, 1, 3, 2, 3, 0, 3, 3, 1, 1, 1, 2, 3, 0, 0, 0, 2, 2, 1, 3, 2, 3, 1, 3, 1, 2, 1, 2, 1, 3, 3, 0, 2, 0, 0, 3, 0, 1, 1, 2, 1, 2, 1, 3, 3, 0, 0]"
73,73,"[0, 2, 3, 2, 1, 3, 3, 3, 0, 2]"
74,74,[]
75,75,"[2, 0, 2, 3, 1, 2, 2]"
76,76,"[3, 2, 0, 0, 0, 3, 2, 1, 1, 1, 3, 0, 2, 0, 0, 3, 0, 3, 0, 2, 2, 2, 1, 3, 2, 3, 1, 3, 1, 2, 3, 0, 2, 0, 2, 0, 3, 3, 3, 1, 2, 3, 2, 0, 2, 2, 1, 3, 2, 3, 1, 3, 1, 2, 1, 1, 3, 0, 2, 0, 0, 0, 2, 0, 3, 3, 3, 1, 2, 1, 1, 2, 3, 0, 0, 2, 3, 3, 0, 2, 2, 1, 1, 3, 1, 2, 1, 1, 3, 0, 0, 0, 2, 0, 3]"
77,77,"[3, 3, 0, 0, 2, 0, 3, 0, 0, 2, 1, 3, 1, 1, 2, 1, 3, 2, 0, 3, 0, 0, 2, 1]"
78,78,[]
79,79,[]
80,80,[]
81,81,"[3, 3, 1, 2, 1, 2, 2, 0, 3, 2, 3, 1, 3, 1, 2, 2, 1, 3, 3, 1, 3, 3, 0, 2, 3, 2, 1, 2, 2, 2, 0, 3, 0, 3, 0, 2, 2, 0, 3, 0, 3, 3, 1, 2, 3, 2, 1, 2, 2, 1, 3, 1, 3, 2, 3, 1, 2, 2, 0, 0, 3, 3, 0, 0, 2, 3, 3, 0, 2, 2, 1, 1, 3, 1, 2, 2, 1, 3, 3, 1, 3, 3, 0, 2, 3, 2, 1, 2, 2, 2, 0, 3, 0, 3, 0, 2, 0, 3, 3, 0, 2, 2, 2, 1, 3, 3, 1, 2, 1, 1, 3, 2, 3, 1, 2, 2, 0, 0, 3, 3, 0, 2, 0, 2, 1, 3, 3, 1, 2, 1, 3, 1, 3, 3, 0, 2, 3, 2, 1, 2, 2, 2, 0, 3, 0, 3, 0, 2, 2, 1, 3, 1, 3, 2, 3, 0, 2, 2, 1, 3, 3, 1, 3, 3, 0, 2, 2, 3, 3, 1, 2, 2, 0, 0, 2, 2, 1, 3, 2, 3, 1, 3, 0, 3, 0, 2, 3, 2, 1, 3, 3, 1, 2, 2, 2, 0, 2, 0, 3, 2, 3, 1, 3, 0, 0, 2, 3, 1, 3, 1, 3, 1, 2, 2, 2, 0, 2, 0, 0, 0, 3, 0, 3, 3, 1, 2, 2]"
82,82,[]
83,83,"[3, 1, 3, 3]"
84,84,"[1, 2, 3, 2, 0, 2, 2, 2, 1, 1, 0, 3, 3, 2, 3, 0, 2, 2, 2, 1, 3, 1, 1, 2, 3, 0, 0, 3, 3, 0, 3, 3, 1, 2, 3, 2, 0, 2, 2, 2, 2, 1, 3, 1, 1, 1, 0, 0, 0, 3, 3, 2, 3, 0, 3, 3, 1, 2, 2]"
85,85,"[2, 2, 1, 2, 3, 0, 3, 0, 2, 2, 1, 3, 1, 1, 2, 0, 3, 2, 1, 1, 1, 3, 3, 0, 2, 3, 2, 0, 2, 0, 3, 0, 3, 0, 2, 2, 1, 3, 1, 1, 2, 0, 3, 2, 1, 3, 1, 3, 1, 2, 2, 0]"
86,86,[]
87,87,[]
88,88,"[0, 2, 3, 1, 1, 2, 2, 0, 3, 2, 0]"
89,89,"[2, 2, 0, 3, 0, 3, 0, 0, 2, 3, 2, 1, 3, 1, 2, 2, 1, 3, 1, 3, 0, 2, 3, 1, 2, 2, 0, 0, 3, 0, 3, 0, 2, 0, 2, 1, 3, 3, 1, 1, 2, 3, 0, 2, 0, 2, 1, 3, 3, 1, 2, 1, 2, 1, 3, 3, 0, 2, 0, 0, 2, 1, 3, 2, 0, 3, 3, 1, 2, 2, 1, 3, 1, 3, 0, 0, 0, 0]"
90,90,"[1, 3, 2, 3, 1, 2, 1, 3, 2, 3, 0, 2, 0, 3, 0, 3, 1, 2, 3, 0, 2, 2, 1, 1, 3, 1, 3, 0, 1, 3, 2, 2, 2, 0, 3, 0, 2, 0, 3, 3, 1, 2, 3, 0, 2, 2, 1, 1, 3, 1, 3, 3, 3]"
91,91,"[1, 2, 2, 2, 2, 1, 1, 3, 2, 2, 0, 3, 0, 0, 2, 1, 3, 1, 1, 1, 2, 3, 0, 0, 0, 2, 1]"
92,92,"[2, 2, 3, 3, 0, 0, 2, 1]"
93,93,"[2, 0, 2, 0, 3, 2, 3, 1, 1, 3, 3, 0, 0, 2, 2, 3, 3, 1, 1, 2, 0]"
94,94,[]
95,95,"[2, 3, 0, 2, 2, 2, 1, 3, 2, 3, 0, 3, 3, 1, 1, 2, 3, 0, 0, 2, 2, 1, 3, 1, 2, 3, 3, 0, 2, 0, 3]"
96,96,[]
97,97,[]
98,98,"[3, 1, 1, 3, 0, 2, 1, 1, 1]"
99,99,"[3, 2, 0, 0, 3, 0, 3, 1, 2, 3, 0, 2, 2, 1, 1, 1, 3, 0, 2, 3, 1, 3, 0, 2, 3, 1, 2, 2, 0, 0, 0, 3, 1, 2, 1, 1, 3, 3, 0, 0, 1, 2, 3, 2, 1, 2, 0, 0]"
